iter	Passed	Remaining
0	104	104275
1	140	70099
2	170	56516
3	204	50892
4	233	46512
5	266	44068
6	307	43635
7	343	42557
8	382	42149
9	442	43797
10	480	43203
11	526	43319
12	560	42531
13	594	41871
14	630	41432
15	668	41116
16	715	41387
17	767	41875
18	804	41535
19	838	41065
20	872	40661
21	900	40048
22	933	39669
23	968	39385
24	999	38978
25	1035	38799
26	1064	38377
27	1101	38233
28	1129	37818
29	1161	37553
30	1194	37333
31	1225	37062
32	1261	36952
33	1293	36743
34	1328	36629
35	1392	37286
36	1436	37398
37	1475	37363
38	1507	37150
39	1537	36895
40	1573	36813
41	1599	36478
42	1631	36320
43	1659	36048
44	1691	35895
45	1724	35770
46	1756	35611
47	1783	35375
48	1816	35251
49	1848	35123
50	1877	34944
51	1914	34901
52	1950	34849
53	1984	34759
54	2017	34671
55	2054	34627
56	2088	34549
57	2119	34428
58	2154	34354
59	2190	34310
60	2222	34204
61	2265	34271
62	2313	34409
63	2357	34477
64	2396	34466
65	2449	34658
66	2504	34872
67	2567	35183
68	2610	35227
69	2663	35389
70	2732	35755
71	2791	35979
72	2842	36097
73	2899	36281
74	2959	36500
75	3023	36760
76	3072	36828
77	3133	37034
78	3179	37067
79	3229	37144
80	3290	37328
81	3337	37366
82	3385	37407
83	3450	37631
84	3494	37618
85	3557	37810
86	3610	37886
87	3657	37905
88	3704	37915
89	3751	37927
90	3807	38033
91	3848	37978
92	3910	38141
93	3992	38484
94	4048	38571
95	4092	38535
96	4139	38539
97	4178	38463
98	4239	38583
99	4304	38744
100	4345	38682
101	4394	38688
102	4413	38435
103	4458	38410
104	4493	38299
105	4525	38171
106	4558	38047
107	4598	37980
108	4633	37874
109	4670	37788
110	4708	37710
111	4750	37667
112	4785	37562
113	4820	37464
114	4848	37314
115	4883	37212
116	4916	37105
117	4952	37020
118	4994	36974
119	5030	36887
120	5067	36813
121	5101	36714
122	5137	36628
123	5178	36580
124	5229	36606
125	5289	36690
126	5335	36678
127	5374	36616
128	5411	36535
129	5450	36474
130	5487	36403
131	5522	36311
132	5562	36262
133	5603	36212
134	5638	36127
135	5679	36081
136	5716	36008
137	5755	35948
138	5795	35897
139	5828	35801
140	5860	35700
141	5892	35601
142	5929	35535
143	5964	35453
144	6001	35390
145	6040	35331
146	6083	35300
147	6118	35223
148	6155	35155
149	6198	35122
150	6244	35109
151	6303	35169
152	6354	35179
153	6415	35240
154	6469	35266
155	6511	35230
156	6552	35185
157	6588	35108
158	6621	35025
159	6662	34979
160	6698	34907
161	6736	34845
162	6773	34782
163	6803	34681
164	6833	34582
165	6870	34519
166	6913	34484
167	6973	34537
168	7033	34586
169	7074	34540
170	7114	34491
171	7152	34432
172	7203	34436
173	7248	34410
174	7303	34433
175	7359	34454
176	7413	34470
177	7466	34480
178	7515	34472
179	7567	34474
180	7619	34477
181	7659	34425
182	7722	34478
183	7764	34432
184	7801	34367
185	7836	34295
186	7871	34222
187	7903	34136
188	7937	34059
189	7978	34014
190	8013	33941
191	8046	33863
192	8082	33797
193	8118	33731
194	8158	33678
195	8193	33611
196	8221	33512
197	8259	33456
198	8293	33383
199	8327	33311
200	8363	33244
201	8400	33184
202	8428	33091
203	8464	33027
204	8498	32958
205	8539	32913
206	8568	32825
207	8598	32739
208	8627	32651
209	8661	32584
210	8707	32561
211	8740	32488
212	8775	32422
213	8808	32351
214	8835	32260
215	8865	32177
216	8894	32094
217	8942	32077
218	8993	32073
219	9048	32081
220	9086	32028
221	9119	31959
222	9152	31890
223	9183	31815
224	9221	31763
225	9259	31710
226	9294	31649
227	9343	31636
228	9378	31576
229	9418	31531
230	9453	31472
231	9488	31410
232	9521	31343
233	9554	31277
234	9581	31189
235	9626	31165
236	9663	31112
237	9702	31065
238	9745	31029
239	9780	30970
240	9818	30922
241	9856	30873
242	9891	30815
243	9933	30778
244	9967	30716
245	10010	30682
246	10062	30676
247	10099	30624
248	10138	30578
249	10172	30518
250	10212	30474
251	10247	30417
252	10282	30358
253	10322	30317
254	10375	30311
255	10419	30282
256	10455	30226
257	10490	30168
258	10530	30129
259	10563	30065
260	10594	29997
261	10627	29936
262	10664	29885
263	10701	29834
264	10738	29783
265	10785	29760
266	10823	29713
267	10858	29656
268	10895	29607
269	10928	29546
270	10955	29471
271	10990	29414
272	11026	29364
273	11063	29313
274	11101	29268
275	11134	29209
276	11180	29181
277	11213	29123
278	11251	29075
279	11285	29020
280	11331	28993
281	11367	28943
282	11406	28900
283	11446	28858
284	11487	28820
285	11530	28785
286	11563	28726
287	11600	28678
288	11633	28620
289	11668	28566
290	11706	28521
291	11741	28468
292	11770	28400
293	11806	28351
294	11842	28301
295	11874	28242
296	11918	28210
297	11969	28196
298	12005	28147
299	12047	28111
300	12083	28060
301	12121	28015
302	12151	27953
303	12196	27923
304	12236	27882
305	12284	27859
306	12320	27811
307	12361	27773
308	12405	27740
309	12438	27686
310	12472	27632
311	12505	27575
312	12543	27532
313	12572	27466
314	12611	27424
315	12650	27383
316	12683	27328
317	12721	27283
318	12756	27232
319	12787	27173
320	12820	27119
321	12855	27068
322	12888	27012
323	12920	26957
324	12950	26896
325	12985	26847
326	13023	26803
327	13054	26746
328	13092	26702
329	13127	26652
330	13164	26608
331	13199	26558
332	13230	26500
333	13267	26455
334	13304	26411
335	13334	26352
336	13367	26298
337	13404	26253
338	13433	26193
339	13465	26139
340	13499	26088
341	13525	26022
342	13557	25968
343	13587	25910
344	13618	25855
345	13653	25808
346	13687	25757
347	13718	25703
348	13745	25640
349	13775	25582
350	13804	25525
351	13836	25471
352	13863	25409
353	13891	25350
354	13928	25307
355	13955	25245
356	13986	25191
357	14011	25126
358	14043	25075
359	14074	25022
360	14111	24978
361	14143	24926
362	14176	24877
363	14204	24818
364	14237	24768
365	14271	24722
366	14304	24672
367	14329	24609
368	14360	24556
369	14386	24495
370	14425	24456
371	14457	24406
372	14493	24362
373	14527	24315
374	14558	24263
375	14586	24207
376	14616	24153
377	14650	24107
378	14678	24051
379	14710	24000
380	14737	23944
381	14766	23889
382	14802	23846
383	14831	23791
384	14859	23736
385	14893	23690
386	14914	23625
387	14947	23577
388	14980	23529
389	15009	23476
390	15040	23426
391	15072	23377
392	15098	23319
393	15129	23270
394	15157	23216
395	15184	23159
396	15216	23112
397	15254	23073
398	15292	23034
399	15326	22989
400	15353	22935
401	15386	22889
402	15419	22842
403	15451	22795
404	15483	22747
405	15511	22694
406	15541	22644
407	15570	22592
408	15604	22547
409	15634	22498
410	15669	22455
411	15698	22404
412	15731	22358
413	15768	22319
414	15796	22267
415	15826	22217
416	15858	22171
417	15889	22123
418	15923	22079
419	15956	22035
420	15983	21982
421	16011	21930
422	16039	21878
423	16071	21832
424	16102	21785
425	16127	21730
426	16158	21683
427	16189	21636
428	16217	21585
429	16244	21533
430	16276	21487
431	16306	21440
432	16332	21386
433	16360	21336
434	16391	21290
435	16419	21240
436	16451	21195
437	16487	21155
438	16517	21107
439	16552	21066
440	16575	21010
441	16611	20971
442	16642	20924
443	16676	20882
444	16707	20837
445	16739	20792
446	16771	20748
447	16803	20704
448	16829	20652
449	16857	20604
450	16888	20558
451	16922	20516
452	16953	20471
453	16982	20424
454	17014	20379
455	17044	20333
456	17077	20290
457	17105	20242
458	17135	20196
459	17161	20146
460	17187	20095
